sample_no,lab_acession_no,band_no,collection_date,period,age,sex,grid,cap_loc,net_setup,net_no,t_cap,t_release,cap_meth,wing_mm,tail_mm,mass_g,fat,pect,cp,bp,body_molt,wing_molt,photos,nest_day,nest_no,nest_status,field_remarks,dna_ext_date,f_mass_g,f_extractor,ext_remarks,,
32-04,06-0031,2811-93027,5/16/2023,1,sy,m,bg,net23-7-5,7,5,6:52:00 AM,7:20:00 AM,target,70,52,14.62,0,0,yes,na,no,na,yes,na,na,na,na,1/12/2024,0.0149,LD,flip top tube,,
32-05,06-0032,2811-93085,5/16/2023,1,asy,m,bg,net23-7-2,7,2,8:50:00 AM,na,passive,71,59,15.74,0,0,yes,na,no,na,yes,na,na,na,Sample collected from side of paper bag Left leg deformed- hallux never released so it’s fused to leg,1/12/2024,0.0586,LD,flip top tube,,
32-06,06-0033,2811-93030,5/16/2023,1,sy,m,bg,feederbg-2,na,na,9:00:00 AM,9:15:00 AM,feeder,69,55,15.55,0,0,yes,no,no,na,yes,na,na,na,Green edging on primary coverts BUT prominent CP,1/12/2024,0.0941,LD,flip top tube,,
32-07,06-0034,2811-93086,5/16/2023,1,asy,f,bg,net23-7-2,7,2,9:20:00 AM,9:35:00 AM,passive,69,54,15.8,0,1,na,yes,no,na,yes,na,na,na,Sample collected from side of paper bag Early developing brood patch,1/10/2024,0.1455,LD,flip top tube,,
32-08,06-0035,2811-93031,5/16/2023,1,asy,f,bg,net23-7-5,7,5,9:40:00 AM,na,passive,69,54,18.85,0,1,na,yes,na,na,yes,na,na,na,Developing brood patch,1/12/2024,0.0511,LD,flip top tube,,
33-01,06-0036,2811-92957,5/17/2023,1,asy,f,bg,feederbg-2,na,na,6:30:00 AM,6:57:00 AM,feeder,65.5,54,14.72,0,1,no,no,no,na,yes,na,na,na,"[sexed] by age no BP, maybe turquoise wash on pp coverts",1/12/2024,0.0554,LD,flip top tube,,
33-02,06-0037,2811-93084,5/17/2023,1,sy,m,bg,net23-7-3,7,3,6:30:00 AM,6:58:00 AM,passive,70,65,14.68,0,1,yes,na,no,na,yes,na,na,na,na,1/12/2024,0.029,LD,flip top tube,,
33-03,06-0038,2811-93087,5/17/2023,1,asy,f,bg,net23-7-8,7,8,7:00:00 AM,7:33:00 AM,passive,69,55,16.44,0,2,no,no,no,na,yes,na,na,na,na,1/12/2024,0.0486,LD,flip top tube,,
33-05,06-0040,2811-93085,5/17/2023,1,asy,m,bg,net23-7-2,7,2,7:54:00 AM,8:03:00 AM,passive,74,55,15.63,0,0,na,na,no,na,yes,na,na,na,"""Littlefoot"" Left leg deformed- hallux never released so it’s fused to leg",1/12/2024,0.0803,LD,flip top tube,,
33-06,2811-93090,5/17/2023,1,sy,m,bg,net23-7-7,7,7,7:10:00 AM,8:19:00 AM,passive,73,57,14.51,0,1,na,na,no,na,yes,na,na,na,na,na,1/12/2024,0.0657,LD,flip top tube,,
34-01,06-0042,2811-93091,5/18/2023,1,sy,m,bor,net23-8-5,8,5,6:44:00 AM,6:59:00 AM,passive,68,52,14.72,0,0,yes,na,no,na,yes,na,na,na,"Red wash on breast/belly, blue specs on head",1/12/2024,0.0419,LD,flip top tube,,
34-03,06-0044,2811-93093,5/18/2023,1,asy,f,bor,net23-8-3,8,3,7:40:00 AM,12:00:00 AM,passive,69,56,14.21,0,0,no,no,no,yes,yes,na,na,na,Molting inner secondaries - feather mites,1/12/2024,0.0854,LD,flip top tube,,
35-02,06-0046,2811-92941,5/19/2023,1,asy,m,bor,net23-8-3,8,3,7:46:00 AM,8:00:00 AM,passive,72,56,16.53,0,1,yes,no,no,na,yes,na,na,na,Sample collected without gloves on. Rec molting in.,1/12/2024,0.0293,LD,flip top tube,,
35-03,06-0047,2811-93091,5/19/2023,1,sy,m,bor,net23-8-10,8,10,8:10:00 AM,8:35:00 AM,passive,67.5,51.5,14.97,0,0,yes,no,na,na,yes,na,na,na,na,1/12/2024,0.0739,LD,flip top tube,,
35-04,06-0048,2811-93094,5/19/2023,1,asy,m,bor,net23-8-1,8,1,8:10:00 AM,na,passive,71,57,15.51,0,0,yes,no,na,na,yes,na,na,na,Large injury on belly that is healing,1/12/2024,0.0436,LD,flip top tube,,
35-05,06-0049,2811-93095,5/19/2023,1,sy,m,bor,net23-8-10,8,10,8:10:00 AM,8:56:00 AM,passive,64,52,13.74,0,1,yes,no,na,na,yes,na,na,na,No skn on left middle tarsus - was very tangled,1/12/2024,0.1295,LD,flip top tube,,
36-01,06-0050,2511-33476,5/22/2023,1,asy,m,bg,net23-9-6,9,6,6:40:00 AM,6:54:00 AM,passive,71,55,16.53,0,0,yes,na,no,na,yes,na,na,na,na,1/12/2024,0.0244,HD,twist top tube,,
36-02,06-0051,2511-33490,5/22/2023,1,asy,f,bg,net23-9-3,9,3,7:15:00 AM,7:21:00 AM,target,70,56,17.32,0,1,no,yes,no,na,yes,na,na,na,na,1/12/2024,0.1083,HD,twist top tube,,
36-04,06-0053,1911-26700,5/22/2023,1,asy,f,bg,feederbg-1,na,na,7:00:00 AM,na,feeder,69,55,17.58,0,0,no,yes,na,na,yes,na,na,na,May have an egg,1/12/2024,0.119,HD,twist top tube,,
36-07,2811-93098,5/22/2023,1,sy,m,bg,net23-9-1,9,1,8:00:00 AM,8:50:00 AM,passive,70,55,15.39,0,0,yes,no,no,na,yes,na,na,na,na,Green edging on pp cov and blue specks on head,1/12/2024,0.018,HD,twist top tube,,
36-08,06-0057,2811-93099,5/22/2023,1,sy,m,bg,net23-9-5,9,5,8:45:00 AM,9:08:00 AM,passive,69,56,14.87,0,0,yes,no,no,yes,yes,na,na,na,Pp cov molt limit and tail,1/12/2024,0.0367,HD,twist top tube,,
36-11,06-0060,2881-08405,5/22/2023,1,sy,m,bg,net23-9-4,9,4,9:33:00 AM,9:57:00 AM,passive,71,57,15.28,0,0,yes,no,na,na,yes,na,na,na,Blue flecks on the head. MAPS bird.,1/12/2024,0.0418,HD,twist top tube,,
